timestamp,source_ip,destination_ip,source_country,protocol,packet_size,dest_port,label,metadata
2026-02-07 10:05:38,45.33.14.16,10.0.5.23,CHN,TCP,3059,80,DDoS,"{'chaos_factor': np.float64(0.2537333150487815), 'entropy_flag': True}"
2026-02-07 10:05:38,45.33.14.42,10.0.5.43,CHN,TCP,106,8080,Normal,"{'chaos_factor': np.float64(0.2537333883117066), 'entropy_flag': True}"
2026-02-07 10:05:38,45.33.18.7,10.0.5.99,JPN,ICMP,1500,8080,Normal,"{'chaos_factor': np.float64(0.25373339154422586), 'entropy_flag': True}"
2026-02-07 10:05:38,45.33.10.18,10.0.5.36,GBR,UDP,432,443,Normal,"{'chaos_factor': np.float64(0.2537333926970824), 'entropy_flag': True}"
2026-02-07 10:05:38,45.33.13.1,10.0.5.12,RUS,ICMP,3048,443,DDoS,"{'chaos_factor': np.float64(0.25373339369170367), 'entropy_flag': True}"
2026-02-07 10:05:38,45.33.16.35,10.0.5.29,IND,TCP,119,80,Normal,"{'chaos_factor': np.float64(0.2537333945959048), 'entropy_flag': True}"
2026-02-07 10:05:38,45.33.17.43,10.0.5.34,KOR,ICMP,332,443,Normal,"{'chaos_factor': np.float64(0.25373339547750096), 'entropy_flag': True}"
2026-02-07 10:05:38,45.33.14.37,10.0.5.60,FRA,UDP,897,80,Normal,"{'chaos_factor': np.float64(0.25373339617825685), 'entropy_flag': True}"
2026-02-07 10:05:38,45.33.18.18,10.0.5.54,BRA,TCP,141,8080,Normal,"{'chaos_factor': np.float64(0.2537333968564077), 'entropy_flag': True}"
2026-02-07 10:05:38,45.33.16.7,10.0.5.18,CHN,ICMP,1500,8080,Normal,"{'chaos_factor': np.float64(0.2537333975119535), 'entropy_flag': True}"
2026-02-07 10:05:38,45.33.18.16,10.0.5.11,IND,SCTP,3075,443,DDoS,"{'chaos_factor': np.float64(0.25373339961422114), 'entropy_flag': True}"
2026-02-07 10:05:38,45.33.13.5,10.0.5.79,RUS,SCTP,127,53,Normal,"{'chaos_factor': np.float64(0.25373340067665745), 'entropy_flag': True}"
2026-02-07 10:05:38,45.33.12.16,10.0.5.31,JPN,UDP,821,53,Normal,"{'chaos_factor': np.float64(0.2537334014000184), 'entropy_flag': True}"
2026-02-07 10:05:38,45.33.19.26,10.0.5.19,DEU,SCTP,335,22,Normal,"{'chaos_factor': np.float64(0.25373340205556416), 'entropy_flag': True}"
2026-02-07 10:05:38,45.33.13.44,10.0.5.83,JPN,ICMP,178,21,Normal,"{'chaos_factor': np.float64(0.25373340275632), 'entropy_flag': True}"
2026-02-07 10:05:38,45.33.11.46,10.0.5.73,GBR,SCTP,320,8080,Normal,"{'chaos_factor': np.float64(0.25373340338926076), 'entropy_flag': True}"
2026-02-07 10:05:38,45.33.18.30,10.0.5.80,JPN,TCP,1408,80,Normal,"{'chaos_factor': np.float64(0.25373340406741157), 'entropy_flag': True}"
2026-02-07 10:05:38,45.33.13.13,10.0.5.42,KOR,ICMP,355,53,Normal,"{'chaos_factor': np.float64(0.25373340472295736), 'entropy_flag': True}"
2026-02-07 10:05:38,45.33.14.13,10.0.5.63,GBR,UDP,557,8080,Normal,"{'chaos_factor': np.float64(0.25373340540110817), 'entropy_flag': True}"
2026-02-07 10:05:38,45.33.12.47,10.0.5.48,DEU,TCP,217,443,Normal,"{'chaos_factor': np.float64(0.253733406101864), 'entropy_flag': True}"
2026-02-07 10:05:38,45.33.11.7,10.0.5.99,JPN,UDP,1500,22,Normal,"{'chaos_factor': np.float64(0.25373340687043494), 'entropy_flag': True}"
2026-02-07 10:05:38,45.33.11.20,10.0.5.92,DEU,ICMP,2100,22,Brute Force,"{'chaos_factor': np.float64(0.2537334076390058), 'entropy_flag': True}"
2026-02-07 10:05:38,45.33.13.33,10.0.5.59,BRA,SCTP,164,8080,Normal,"{'chaos_factor': np.float64(0.2537334083849717), 'entropy_flag': True}"
